"date","covid_cases_total","covid_cases_new","covid_cases_per100K","covid_cases_7day.x","hover_text_case.x","copies_day_person_M_mn","copies_day_person_M_se","hover_text_load","covid_cases_7day.y","hover_text_case.y","mutation","variant","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
2020-01-22,0,NA,NA,NA,"Jan 22, 2020<br><b>NaN</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-23,0,0,0,0,"Jan 23, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-24,0,0,0,0,"Jan 24, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-25,0,0,0,0,"Jan 25, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-26,0,0,0,0,"Jan 26, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-27,0,0,0,0,"Jan 27, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-28,0,0,0,0,"Jan 28, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-29,0,0,0,0,"Jan 29, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-30,0,0,0,0,"Jan 30, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,0,0,0,0,"Jan 31, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,0,0,0,0,"Feb 01, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02,0,0,0,0,"Feb 02, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-03,0,0,0,0,"Feb 03, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-04,0,0,0,0,"Feb 04, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-05,0,0,0,0,"Feb 05, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-06,0,0,0,0,"Feb 06, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-07,0,0,0,0,"Feb 07, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-08,0,0,0,0,"Feb 08, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-09,0,0,0,0,"Feb 09, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-10,0,0,0,0,"Feb 10, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-11,0,0,0,0,"Feb 11, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-12,0,0,0,0,"Feb 12, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-13,0,0,0,0,"Feb 13, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-14,0,0,0,0,"Feb 14, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-15,0,0,0,0,"Feb 15, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-16,0,0,0,0,"Feb 16, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-17,0,0,0,0,"Feb 17, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-18,0,0,0,0,"Feb 18, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-19,0,0,0,0,"Feb 19, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-20,0,0,0,0,"Feb 20, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-21,0,0,0,0,"Feb 21, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-22,0,0,0,0,"Feb 22, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-23,0,0,0,0,"Feb 23, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-24,0,0,0,0,"Feb 24, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-25,0,0,0,0,"Feb 25, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-26,0,0,0,0,"Feb 26, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27,0,0,0,0,"Feb 27, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,0,0,0,0,"Feb 28, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,0,0,0,0,"Feb 29, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,0,0,0,0,"Mar 01, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,0,0,0,0,"Mar 02, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,0,0,0,0,"Mar 03, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,0,0,"Mar 04, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,0,0,"Mar 05, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,1,1,0.0316145153621253,0.00451635933744647,"Mar 06, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,1,0,0,0.00451635933744647,"Mar 07, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,1,0,0,0.00451635933744647,"Mar 08, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,1,0,0,0.00451635933744647,"Mar 09, 2020<br><b>0</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,2,1,0.0316145153621253,0.00903271867489294,"Mar 10, 2020<br><b>0.01</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,3,1,0.0316145153621253,0.0135490780123394,"Mar 11, 2020<br><b>0.01</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,7,4,0.126458061448501,0.0316145153621253,"Mar 12, 2020<br><b>0.03</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,9,2,0.0632290307242506,0.0361308746995718,"Mar 13, 2020<br><b>0.04</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,15,6,0.189687092172752,0.0632290307242506,"Mar 14, 2020<br><b>0.06</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,16,1,0.0316145153621253,0.0677453900616971,"Mar 15, 2020<br><b>0.07</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,36,20,0.632290307242506,0.158072576810627,"Mar 16, 2020<br><b>0.16</b> cases per 100,000 people",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
