sample_id,sample_start_date
ZQ1,11/1/2020
ZQ1-1,11/1/2020
ZQ4,11/2/2020
ZQ5,11/2/2020
ZQ6B,11/2/2020
ZQ10,11/3/2020
ZQ13,11/3/2020
Z1,11/2/2020
ZH1,11/2/2020
ZH2,11/2/2020
55,11/4/2020
YZ1,11/4/2020
YZ4,11/4/2020
611,11/5/2020
614,11/5/2020
301,11/8/2020
302,11/8/2020
308,11/9/2020
309,11/9/2020
102B,11/9/2020
104A,11/9/2020
111,11/10/2020
113,11/10/2020
Y13,11/11/2020
Y14,11/11/2020
131,11/12/2020
134,11/12/2020
ZV405,11/15/2020
ZV406,11/15/2020
Y18,11/16/2020
Y19,11/16/2020
181,11/17/2020
182,11/17/2020
Y21,11/18/2020
Y23,11/18/2020
201,11/19/2020
202,11/19/2020
231,11/22/2020
232,11/22/2020
Y25,11/23/2020
Y29,11/23/2020
505,11/24/2020
506,11/24/2020
261,11/25/2020
263,11/25/2020
271,11/26/2020
272,11/26/2020
M2,11/29/2020
M3,11/29/2020
11,11/30/2020
12,11/30/2020
26,12/1/2020
27,12/1/2020
Y2,12/2/2020
Y5,12/2/2020
442,12/3/2020
444,12/3/2020
L1,12/4/2020
L5,12/5/2020
L10,12/6/2020
L12,12/6/2020
Y9,12/7/2020
Y12,12/7/2020
96,12/8/2020
98,12/8/2020
M101,12/9/2020
M102,12/9/2020
112,12/10/2020
L131,12/12/2020
L142,12/13/2020
Y33,12/14/2020
Y34,12/14/2020
161,12/15/2020
163,12/15/2020
171A,12/16/2020
171B,12/16/2020
181,12/17/2020
184,12/17/2020
213,12/20/2020
215,12/20/2020
231,12/22/2020
232,12/22/2020
241,12/23/2020
242,12/23/2020
251,12/24/2020
252,12/24/2020
261,12/25/2020
264,12/25/2020
271,12/26/2020
282,12/27/2020
283,12/27/2020
292,12/28/2020
294,12/28/2020
302,12/29/2020
304,12/29/2020
313,12/30/2020
15,12/31/2020
21,1/1/2021
31,1/2/2021
43A,1/3/2021
43B,1/3/2021
51,1/4/2021
52,1/4/2021
65,1/5/2021
66,1/5/2021
71,1/6/2021
73,1/6/2021
81,1/7/2021
82,1/7/2021
86,1/7/2021
88,1/7/2021
111,1/10/2021
113,1/10/2021
Y6,1/11/2021
Y7,1/11/2021
121,1/11/2021
122,1/11/2021
132,1/12/2021
137,1/12/2021
141,1/13/2021
148,1/13/2021
151,1/14/2021
152,1/14/2021
162,1/15/2021
171,1/16/2021
183,1/17/2021
185,1/17/2021
M119,1/18/2021
192,1/18/2021
205,1/19/2021
207,1/19/2021
173,NA
206,NA
211,1/20/2021
222,1/21/2021
224,1/21/2021
231,1/22/2021
234,1/22/2021
241,1/23/2021
242,1/23/2021
251,1/24/2021
252,1/24/2021
262,1/25/2021
263,1/25/2021
272,NA
191,NA
276,1/26/2021
278,1/26/2021
281,1/27/2021
283,1/27/2021
291,1/28/2021
293,1/28/2021
302,1/29/2021
303,1/29/2021
315,1/30/2021
15,1/31/2021
21,2/1/2021
22,2/1/2021
31,2/2/2021
41,2/3/2021
46,2/3/2021
55,2/4/2021
58,2/4/2021
62,2/5/2021
72,2/6/2021
76,2/6/2021
85,2/7/2021
88,2/7/2021
91,2/8/2021
94,2/8/2021
101,2/9/2021
111,2/10/2021
113,2/10/2021
125A,2/11/2021
128,2/11/2021
134,2/12/2021
135,2/12/2021
144,2/13/2021
146,2/13/2021
152,2/14/2021
153,2/14/2021
161,2/15/2021
171,2/16/2021
16PZ2,2/15/2021
16PZ3,2/15/2021
17PZ1,2/16/2021
17PZ2,2/16/2021
18PZ1,2/17/2021
18PZ2,2/17/2021
18PZ3,2/17/2021
18PZ4,2/17/2021
19PZ2,2/18/2021
19PZ4,2/18/2021
20PZ1,2/19/2021
20PZ2,2/19/2021
21PZ1,2/20/2021
21PZ3,2/20/2021
22PZ1,2/21/2021
22PZ3,2/21/2021
23PZ1,2/22/2021
24PZ3,2/23/2021
241,2/23/2021
242,2/23/2021
251,2/24/2021
252,2/24/2021
261,2/25/2021
262,2/25/2021
271,2/26/2021
272,2/26/2021
281,2/27/2021
282,2/27/2021
311,2/28/2021
312,2/28/2021
324,3/1/2021
325,3/1/2021
333,3/2/2021
334,3/2/2021
335,3/2/2021
336,3/2/2021
342,3/3/2021
343,3/3/2021
354,3/4/2021
355,3/4/2021
361,3/5/2021
362,3/5/2021
371,3/6/2021
372,3/6/2021
381,3/7/2021
382,3/7/2021
391,3/8/2021
392,3/8/2021
101,3/9/2021
102,3/9/2021
103,3/9/2021
104,3/9/2021
112,3/10/2021
113,3/10/2021
121,3/11/2021
122,3/11/2021
131,3/12/2021
132,3/12/2021
141,3/13/2021
142,3/13/2021
1511,3/14/2021
1522,3/14/2021
162,3/15/2021
163,3/15/2021
173,3/16/2021
174,3/16/2021
181,3/17/2021
182,3/17/2021
191,3/18/2021
192,3/18/2021
202,3/19/2021
203,3/19/2021
211,3/20/2021
212,3/20/2021
222,3/21/2021
223,3/21/2021
231,3/22/2021
232,3/22/2021
241,3/23/2021
243,3/23/2021
251,3/24/2021
252,3/24/2021
261,3/25/2021
263,3/25/2021
271,3/26/2021
272,3/26/2021
281,3/27/2021
282,3/27/2021
291,3/28/2021
292,3/28/2021
302,3/29/2021
303,3/29/2021
311,3/30/2021
312,3/30/2021
412,3/31/2021
413,3/31/2021
421,4/1/2021
422,4/1/2021
431,4/2/2021
432,4/2/2021
441,4/3/2021
442,4/3/2021
451,4/4/2021
452,4/4/2021
461,4/5/2021
462,4/5/2021
475,4/6/2021
476,4/6/2021
485,4/7/2021
486,4/7/2021
491,4/8/2021
492,4/8/2021
101,4/9/2021
102,4/9/2021
111,4/10/2021
112,4/10/2021
113,4/10/2021
114,4/10/2021
115,4/10/2021
116,4/10/2021
123,4/11/2021
124,4/11/2021
125,4/11/2021
126,4/11/2021
131,4/12/2021
132,4/12/2021
141,4/13/2021
142,4/13/2021
151,4/14/2021
152,4/14/2021
161,4/15/2021
162,4/15/2021
171,4/16/2021
172,4/16/2021
184,4/17/2021
185,4/17/2021
191,4/18/2021
192,4/18/2021
201,4/19/2021
202,4/19/2021
211,4/20/2021
214,4/20/2021
221,4/21/2021
222,4/21/2021
231,4/22/2021
232,4/22/2021
241,4/23/2021
242,4/23/2021
251,4/24/2021
252,4/24/2021
261,4/25/2021
266,4/25/2021
271,4/26/2021
272,4/26/2021
281,4/27/2021
282,4/27/2021
294,4/28/2021
295,4/28/2021
301,4/29/2021
302,4/29/2021
512,4/30/2021
