sample start date,Metro Plant flow rate (MGD) on sample start date,copies/L,copies/day,million copies/day/person
11/01/20,157,"595,624",3.5E+14,1.8E+02
11/02/20,163,"570,335",3.5E+14,1.8E+02
11/03/20,161,"707,987",4.3E+14,2.2E+02
11/04/20,160,"539,483",3.3E+14,1.7E+02
11/05/20,159,"709,028",4.3E+14,2.2E+02
11/08/20,156,"864,861",5.1E+14,2.6E+02
11/09/20,165,"1,227,352",7.6E+14,3.9E+02
11/10/20,161,"1,092,833",6.7E+14,3.4E+02
11/11/20,164,"1,072,995",6.7E+14,3.4E+02
11/12/20,158,"1,246,288",7.5E+14,3.8E+02
11/15/20,162,"1,100,979",6.7E+14,3.5E+02
11/16/20,164,"1,433,190",8.9E+14,4.6E+02
11/17/20,161,"1,244,547",7.6E+14,3.9E+02
11/18/20,163,"1,131,854",7.0E+14,3.6E+02
11/19/20,167,"1,857,713",1.2E+15,6.0E+02
11/22/20,159,"1,627,258",9.8E+14,5.0E+02
11/23/20,162,"1,207,563",7.4E+14,3.8E+02
11/24/20,160,"793,061",4.8E+14,2.5E+02
11/25/20,161,"1,072,667",6.5E+14,3.3E+02
11/26/20,160,"1,016,726",6.1E+14,3.2E+02
11/29/20,156,"690,344",4.1E+14,2.1E+02
11/30/20,161,"1,228,380",7.5E+14,3.8E+02
12/01/20,159,"930,939",5.6E+14,2.9E+02
12/02/20,158,"1,091,794",6.5E+14,3.3E+02
12/03/20,157,"1,131,496",6.7E+14,3.5E+02
12/04/20,157,"734,685",4.4E+14,2.2E+02
12/06/20,155,"773,722",4.5E+14,2.3E+02
12/07/20,158,"732,361",4.4E+14,2.2E+02
12/08/20,156,"671,154",4.0E+14,2.0E+02
12/09/20,156,"620,447",3.7E+14,1.9E+02
12/10/20,155,"773,494",4.6E+14,2.3E+02
12/12/20,152,"680,617",3.9E+14,2.0E+02
12/13/20,153,"915,614",5.3E+14,2.7E+02
12/15/20,155,"660,449",3.9E+14,2.0E+02
12/16/20,155,"770,531",4.5E+14,2.3E+02
12/17/20,155,"520,584",3.1E+14,1.6E+02
12/20/20,156,"567,885",3.3E+14,1.7E+02
12/22/20,154,"652,761",3.8E+14,2.0E+02
12/23/20,154,"578,436",3.4E+14,1.7E+02
12/24/20,154,"609,095",3.5E+14,1.8E+02
12/25/20,145,"349,750",1.9E+14,9.9E+01
12/26/20,146,"533,367",2.9E+14,1.5E+02
