Well,Sample,Target,Conc input (copies/µL),Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
B11,1036,N1,215.6665527,53.91663742,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1078.332764,230.4435883,200.935791,57.61089706,50.23394775,18328,821,17507,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5268.017729,3506.934908,3585.822348,,,,,55.8000145,52.03627396,,,,,,,,,,,,
B08,1036,N2,262.4583984,65.61460114,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1312.291992,278.3172913,246.6528015,69.57932281,61.66320038,19467,1056,18411,0,0,0,0,,,,,,,,,4422.727539,,,,,,,,,,,,,,4887.700561,3739.536863,3801.819745,,,,,67.63574982,63.59692383,,,,,,,,,,,,
C11,1042,N1,216.4718262,54.11795425,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1082.359131,230.8549042,202.1325531,57.71372604,50.53313828,19418,873,18545,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5213.829726,3452.848035,3532.018754,,,,,55.95115662,52.28760147,,,,,,,,,,,,
C08,1042,N2,337.1769043,84.2942276,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1685.884521,356.2496338,318.1811523,89.06240845,79.54528809,17442,1206,16236,0,0,0,0,,,,,,,,,4422.727539,,,,,,,,,,,,,,4866.659699,3693.097212,3774.241367,,,,,86.72455597,81.86890411,,,,,,,,,,,,
D11,1047,N1,219.7450684,54.93626404,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1098.725342,234.7381439,204.7995758,58.68453598,51.19989395,18149,828,17321,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5226.677911,3469.541004,3549.705716,,,,,56.84715271,53.0284729,,,,,,,,,,,,
D08,1047,N2,319.685498,79.92137146,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1598.42749,337.3670654,302.0700989,84.34176636,75.51752472,19200,1261,17939,0,0,0,0,,,,,,,,,4422.727539,,,,,,,,,,,,,,4971.654837,3798.440507,3875.493802,,,,,82.17459869,77.67245483,,,,,,,,,,,,
E11,1052,N1,265.8923828,66.47309875,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1329.461914,281.7941284,250.0442505,70.4485321,62.51106262,19623,1078,18545,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5219.453808,3455.464913,3552.370587,,,,,68.49970245,64.44998169,,,,,,,,,,,,
E08,1052,N2,395.1250977,98.78127289,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1975.625488,416.2328796,374.1115417,104.0582199,93.52788544,16800,1353,15447,0,0,0,0,,,,,,,,,4422.727539,,,,,,,,,,,,,,4906.190657,3749.400821,3842.563716,,,,,101.4706345,96.09803772,,,,,,,,,,,,
F11,1053,N1,230.1648193,57.54120636,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1150.824097,245.0954895,215.2813721,61.27387238,53.82034302,19190,916,18274,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5244.860329,3483.216258,3567.305157,,,,,59.44414902,55.64133453,,,,,,,,,,,,
F08,1053,N2,360.7201904,90.18004608,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1803.600952,379.9996338,341.5194397,94.99990845,85.37985992,18309,1351,16958,0,0,0,0,,,,,,,,,4422.727539,,,,,,,,,,,,,,4879.745287,3736.179165,3820.561591,,,,,92.63669586,87.72852325,,,,,,,,,,,,
E10,1015,N1,412.1068359,103.0267105,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,2060.53418,432.1624451,392.136322,108.0406113,98.03408051,19440,1630,17810,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5249.810699,3512.574789,3658.238088,,,,,105.5821533,100.476799,,,,,,,,,,,,
E07,1015,N2,581.3227539,145.3306885,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,2906.61377,605.8218384,556.9505005,151.4554596,139.2376251,18734,2177,16557,0,0,0,0,,,,,,,,,4422.727539,,,,,,,,,,,,,,5057.52201,3928.687056,4059.864257,,,,,148.4515839,142.2180328,,,,,,,,,,,,
F10,1016,N1,399.8052734,99.95131683,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1999.026367,420.2178955,379.4807739,105.0544739,94.87019348,18183,1481,16702,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5333.051532,3579.686597,3722.497655,,,,,102.5522003,97.35616302,,,,,,,,,,,,
F07,1016,N2,548.2768066,137.0691986,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,2741.384033,572.2198486,524.4550171,143.0549622,131.1137543,18431,2027,16404,0,0,0,0,,,,,,,,,4422.727539,,,,,,,,,,,,,,5033.01526,3901.647135,4026.072461,,,,,140.1193542,134.0269318,,,,,,,,,,,,
G10,1023,N1,217.7279785,54.43199158,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1088.639893,232.303772,203.1971741,58.07594299,50.79929352,19021,860,18161,0,0,0,0,,,,,,,,,4291.414063,,,,,,,,,,,,,,5268.740895,3531.972332,3610.497171,,,,,56.28974152,52.57717514,,,,,,,,,,,,
