Well,Sample,Target,Conc(copies/µl of input sample),Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
H03,103,N2,5.363338852,1.34,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,26.82,9.03,2.86,2.26,0.71,10535,12,10523,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,491.35","4,678.61","4,680.68",,,,,1.77,0.99,,,,,,,,,,,,
H09,103,N1,4.605794907,1.15,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,23.03,7.61,2.52,1.90,0.63,13289,13,13276,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"6,064.85","3,673.81","3,676.15",,,,,1.50,0.86,,,,,,,,,,,,
B04,113,N2,5.113105011,1.28,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,25.57,7.64,3.22,1.91,0.80,19338,21,19317,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,505.01","4,724.93","4,726.87",,,,,1.58,1.02,,,,,,,,,,,,
B10,113,N1,5.274470901,1.32,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,26.37,7.95,3.28,1.99,0.82,17854,20,17834,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,997.41","3,581.70","3,584.41",,,,,1.64,1.05,,,,,,,,,,,,
C04,114,N2,4.202149963,1.05,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,21.01,6.63,2.46,1.66,0.61,17926,16,17910,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,526.29","4,732.54","4,734.14",,,,,1.34,0.81,,,,,,,,,,,,
C10,114,N1,6.329037476,1.58,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,31.65,9.10,4.19,2.27,1.05,19345,26,19319,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,962.26","3,617.14","3,620.29",,,,,1.91,1.29,,,,,,,,,,,,
D04,123,N2,5.396801758,1.35,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,26.98,8.06,3.40,2.01,0.85,18322,21,18301,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,279.15","4,577.10","4,579.05",,,,,1.67,1.08,,,,,,,,,,,,
D10,123,N1,3.361252594,0.84,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,16.81,5.55,1.84,1.39,0.46,18207,13,18194,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,751.02","3,564.07","3,565.63",,,,,1.10,0.63,,,,,,,,,,,,
E04,133,N2,6.932038116,1.73,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,34.66,10.03,4.55,2.51,1.14,16984,25,16959,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,333.55","4,596.92","4,599.47",,,,,2.10,1.41,,,,,,,,,,,,
E10,133,N1,4.926947021,1.23,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,24.63,7.50,3.02,1.88,0.76,18157,19,18138,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,850.64","3,625.99","3,628.32",,,,,1.54,0.97,,,,,,,,,,,,
F04,143,N2,11.08347397,2.77,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,55.42,15.19,7.80,3.80,1.95,14878,35,14843,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,876.45","4,904.91","4,909.54",,,,,3.27,2.33,,,,,,,,,,,,
F10,143,N1,7.354551697,1.84,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,36.77,10.64,4.83,2.66,1.21,16009,25,15984,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"6,270.32","3,681.60","3,685.64",,,,,2.23,1.50,,,,,,,,,,,,
G04,153,N2,6.638467407,1.66,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,33.19,9.91,4.18,2.48,1.04,14897,21,14876,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,611.84","4,859.23","4,861.70",,,,,2.05,1.32,,,,,,,,,,,,
G10,153,N1,5.142854309,1.29,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,25.71,8.22,2.95,2.06,0.74,13733,15,13718,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"6,041.07","3,612.18","3,614.84",,,,,1.65,0.98,,,,,,,,,,,,
A03,632,N2,7.106000519,1.78,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,35.53,10.15,4.74,2.54,1.19,17894,27,17867,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,799.50","4,838.90","4,841.86",,,,,2.14,1.46,,,,,,,,,,,,
A09,632,N1,7.933314514,1.98,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,39.67,11.48,5.21,2.87,1.30,14842,25,14817,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,804.24","3,446.44","3,450.41",,,,,2.41,1.61,,,,,,,,,,,,
B03,643,N2,10.68135986,2.67,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,53.41,14.21,7.79,3.55,1.95,18966,43,18923,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,551.03","4,717.28","4,721.43",,,,,3.10,2.28,,,,,,,,,,,,
B09,643,N1,9.040600586,2.26,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,45.20,12.34,6.39,3.08,1.60,18757,36,18721,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,902.71","3,606.44","3,610.85",,,,,2.66,1.90,,,,,,,,,,,,
C03,653,N2,10.63644333,2.66,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,53.18,14.15,7.76,3.54,1.94,19046,43,19003,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,498.33","4,664.36","4,668.50",,,,,3.08,2.27,,,,,,,,,,,,
C09,653,N1,8.943100739,2.24,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,44.72,12.15,6.36,3.04,1.59,19488,37,19451,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,835.97","3,540.70","3,545.06",,,,,2.62,1.89,,,,,,,,,,,,
D03,661,N2,7.612189484,1.90,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,38.06,10.87,5.08,2.72,1.27,16705,27,16678,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"7,291.43","4,361.29","4,366.02",,,,,2.29,1.56,,,,,,,,,,,,
D09,661,N1,5.784427261,1.45,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,28.92,8.49,3.72,2.12,0.93,18723,23,18700,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,698.60","3,493.03","3,495.74",,,,,1.77,1.17,,,,,,,,,,,,
E03,672,N2,9.414566803,2.35,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,47.07,12.80,6.69,3.20,1.67,18513,37,18476,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,272.94","4,570.30","4,573.70",,,,,2.76,1.99,,,,,,,,,,,,
E09,672,N1,9.554016113,2.39,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,47.77,13.04,6.76,3.26,1.69,17750,36,17714,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,776.40","3,573.49","3,577.95",,,,,2.81,2.01,,,,,,,,,,,,
F03,684,N2,8.808666992,2.20,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,44.04,12.36,6.01,3.09,1.50,16042,30,16012,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"7,250.46","4,491.08","4,496.24",,,,,2.63,1.82,,,,,,,,,,,,
F09,684,N1,9.193251801,2.30,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,45.97,13.21,6.09,3.30,1.52,13322,26,13296,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"6,192.80","3,616.55","3,621.57",,,,,2.78,1.88,,,,,,,,,,,,
G03,693,N2,5.734220123,1.43,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,28.67,8.83,3.47,2.21,0.87,14781,18,14763,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,541.34","4,710.31","4,712.54",,,,,1.80,1.12,,,,,,,,,,,,
G09,693,N1,5.862202072,1.47,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,29.31,9.25,3.43,2.31,0.86,12852,16,12836,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"6,140.70","3,650.25","3,653.35",,,,,1.86,1.13,,,,,,,,,,,,
A04,NTC,N2,0.262465906,0.07,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1.31,1.25,0.01,0.31,0.00,17930,1,17929,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,884.32","4,535.78","4,535.91",,,,,0.16,0.02,,,,,,,,,,,,
A10,NTC,N1,0,0.00,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,0.00,0.73,0.00,0.18,0.00,19332,0,19332,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,0.00,"3,514.17","3,514.17",,,,,0.08,0.00,,,,,,,,,,,,
H04,Positive Control,N2,39.56353149,9.89,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,197.82,48.26,31.99,12.07,8.00,10989,92,10897,0.00,0.00,0.00,0.00,,,,,,,,,"5,800.00",,,,,,,,,,,,,,"6,627.47","4,527.88","4,545.46",,,,,10.96,8.90,,,,,,,,,,,,
H10,Positive Control,N1,40.9674408,10.24,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,204.84,47.81,34.14,11.95,8.53,15921,138,15783,0.00,0.00,0.00,0.00,,,,,,,,,"4,500.00",,,,,,,,,,,,,,"5,926.05","3,515.68","3,536.57",,,,,11.11,9.37,,,,,,,,,,,,
