"date","copies_day_person_M_mn","copies_day_person_M_se","hover_text_load","covid_cases_7day","hover_text_case"
2020-11-01,181.4432,0.5755,"Nov 01, 2020<br><b>181.44</b> copies of RNA per day per person",39.8632,"Nov 01, 2020<br><b>39.86</b> cases per 100,000 people"
2020-11-02,227.496,21.5506,"Nov 02, 2020<br><b>227.5</b> copies of RNA per day per person",44.1138,"Nov 02, 2020<br><b>44.11</b> cases per 100,000 people"
2020-11-03,221.1375,54.5475,"Nov 03, 2020<br><b>221.14</b> copies of RNA per day per person",46.6922,"Nov 03, 2020<br><b>46.69</b> cases per 100,000 people"
2020-11-04,167.5152,8.2006,"Nov 04, 2020<br><b>167.52</b> copies of RNA per day per person",49.4624,"Nov 04, 2020<br><b>49.46</b> cases per 100,000 people"
2020-11-05,218.7811,5.5456,"Nov 05, 2020<br><b>218.78</b> copies of RNA per day per person",52.2485,"Nov 05, 2020<br><b>52.25</b> cases per 100,000 people"
2020-11-06,NA,NA,"Nov 06, 2020<br><b>NA</b> copies of RNA per day per person",56.9642,"Nov 06, 2020<br><b>56.96</b> cases per 100,000 people"
2020-11-07,NA,NA,"Nov 07, 2020<br><b>NA</b> copies of RNA per day per person",63.7365,"Nov 07, 2020<br><b>63.74</b> cases per 100,000 people"
2020-11-08,261.298,32.0157,"Nov 08, 2020<br><b>261.3</b> copies of RNA per day per person",72.6922,"Nov 08, 2020<br><b>72.69</b> cases per 100,000 people"
2020-11-09,392.1498,27.1195,"Nov 09, 2020<br><b>392.15</b> copies of RNA per day per person",74.3733,"Nov 09, 2020<br><b>74.37</b> cases per 100,000 people"
2020-11-10,342.4234,1.9571,"Nov 10, 2020<br><b>342.42</b> copies of RNA per day per person",76.3506,"Nov 10, 2020<br><b>76.35</b> cases per 100,000 people"
2020-11-11,342.0892,35.1854,"Nov 11, 2020<br><b>342.09</b> copies of RNA per day per person",93.9417,"Nov 11, 2020<br><b>93.94</b> cases per 100,000 people"
2020-11-12,383.2306,24.9043,"Nov 12, 2020<br><b>383.23</b> copies of RNA per day per person",98.9988,"Nov 12, 2020<br><b>99</b> cases per 100,000 people"
2020-11-13,NA,NA,"Nov 13, 2020<br><b>NA</b> copies of RNA per day per person",100.5425,"Nov 13, 2020<br><b>100.54</b> cases per 100,000 people"
2020-11-14,NA,NA,"Nov 14, 2020<br><b>NA</b> copies of RNA per day per person",130.1269,"Nov 14, 2020<br><b>130.13</b> cases per 100,000 people"
2020-11-15,345.2812,45.0195,"Nov 15, 2020<br><b>345.28</b> copies of RNA per day per person",132.527,"Nov 15, 2020<br><b>132.53</b> cases per 100,000 people"
2020-11-16,455.4478,27.3564,"Nov 16, 2020<br><b>455.45</b> copies of RNA per day per person",135.1704,"Nov 16, 2020<br><b>135.17</b> cases per 100,000 people"
2020-11-17,389.7192,9.8594,"Nov 17, 2020<br><b>389.72</b> copies of RNA per day per person",133.6848,"Nov 17, 2020<br><b>133.68</b> cases per 100,000 people"
2020-11-18,358.7888,12.6938,"Nov 18, 2020<br><b>358.79</b> copies of RNA per day per person",124.3559,"Nov 18, 2020<br><b>124.36</b> cases per 100,000 people"
2020-11-19,601.0271,49.5337,"Nov 19, 2020<br><b>601.03</b> copies of RNA per day per person",121.3615,"Nov 19, 2020<br><b>121.36</b> cases per 100,000 people"
2020-11-20,NA,NA,"Nov 20, 2020<br><b>NA</b> copies of RNA per day per person",123.1273,"Nov 20, 2020<br><b>123.13</b> cases per 100,000 people"
2020-11-21,NA,NA,"Nov 21, 2020<br><b>NA</b> copies of RNA per day per person",97.8198,"Nov 21, 2020<br><b>97.82</b> cases per 100,000 people"
