"variant","date","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
"Alpha, Beta & Gamma",2021-01-13,0,0,0.01152,"Jan 13, 2021<br><b>Alpha, Beta & Gamma</b> 0%"
"Delta",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Delta</b> NaN%"
"Omicron BA.1",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-01-13,NA,NA,NA,"Jan 13, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-01-14,NA,0,0.01152,"Jan 14, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-01-14,NA,NA,NA,"Jan 14, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
